Timestamp,Post Text,Hashtags,Followers,Likes,Comments,Shares,Media Type,Engagement Rate,Engagement
2025-10-19 07:14:00,Crushing my morning workout! Consistency is key. Let's get it! 💪🔥,#cardio #healthylifestyle #training #lifestyle #fitlife,9507,514,31,10,video,5.8378037235721045,high
2026-04-05 00:35:00,Unboxing the latest tech! This piece is absolutely gorgeous.,#gadgets #design #minimalist #codinglife #javascript,12492,370,17,48,image,3.4822286263208455,low
2025-11-22 08:09:00,Reviewing the new framework. Is it worth the hype? Let's discuss.,#setup #workspace #geek #innovation #future #ai,13477,110,11,10,image,0.9720264153743415,low
2026-03-02 03:59:00,"Sweat now, shine later. What is your workout today?",#gym #fit #progress #goals #strong #bodybuilding,28578,1431,80,52,image,5.469242074322906,high
2025-09-25 09:05:00,Crushing my morning workout! Consistency is key. Let's get it! 💪🔥,#cardio #healthylifestyle #training #lifestyle #fitlife,256806,10901,615,673,carousel,4.746384430270321,high
2026-05-26 21:41:00,Reviewing the new framework. Is it worth the hype? Let's discuss.,#setup #workspace #geek #innovation #future #ai,6946,216,12,32,image,3.743161531816873,low
2025-11-14 01:14:00,Satisfying my sweet tooth with these freshly baked cookies. 🍪😍,#cafe #coffee #sweet #tasty #instafood #goodeats,220077,6751,771,895,carousel,3.824570491237158,low
2026-02-11 12:56:00,Vintage finds are the best. Obsessed with this look!,#lookbook #beauty #clothing #instafashion #trends,337337,7782,575,891,image,2.741472177673958,low
2025-12-03 07:08:00,Sunset views over the city. Absolutely breathless. 🌇✨,#sunset #landscape #beach #island #vacation #trip,52242,443,15,69,video,1.0087668925385704,low
2025-12-13 19:29:00,Brunch is always a good idea! Eggs benedict are perfection. 🍳🥞,#recipe #chef #homemade #dinner #healthyfood #organic,57174,3994,125,534,carousel,8.138314618532899,high
2025-11-22 03:18:00,Streetwear vibes for today's run. Comfort is fashion.,#lookbook #beauty #clothing #instafashion #trends,37025,2163,208,175,image,6.876434841323429,high
2025-10-31 20:32:00,"Healthy mind, healthy body. Mindset is everything. 🧘‍♀️✨",#cardio #healthylifestyle #training #lifestyle #fitlife,82586,6430,721,1336,video,10.276560191800064,high
2025-06-10 03:59:00,Homemade pasta night! Nothing beats fresh ingredients.,#recipe #chef #homemade #dinner #healthyfood #organic,26603,1112,119,158,carousel,5.2212156523700335,high
2025-07-06 17:49:00,"Sweat now, shine later. What is your workout today?",#gym #fit #progress #goals #strong #bodybuilding,8922,394,42,27,image,5.189419412687738,high
2026-05-20 06:45:00,"Debugging all morning, but finally got that green build! 🛠️",#gadgets #design #minimalist #codinglife #javascript,21008,1026,66,45,carousel,5.412223914699163,high
2026-03-29 17:14:00,Fueling my body with clean eats today. Health is wealth! 🥗🥑,#fitness #workout #motivation #healthy #gymlife #fitfam #wellness,75136,3419,377,668,video,5.941226575809199,high
2025-10-21 21:31:00,New personal record on deadlifts today! Unbelievable feeling. 🏋️‍♂️,#fitness #workout #motivation #healthy #gymlife #fitfam #wellness,13410,1090,48,124,video,9.41088739746458,high
2025-07-20 21:27:00,Waking up to this view is a dream. Can I stay here forever? 🏔️🌊,#travel #wanderlust #adventure #explore #nature #photography,25560,1488,176,35,image,6.647104851330203,high
2025-07-26 07:12:00,"Collect moments, not things. Today's hike was unforgettable.",#sunset #landscape #beach #island #vacation #trip,12005,290,31,5,image,2.715535193669304,low
